GEO.id,GEO.id2,GEO.display-label,total,no_schooling,nursery_school,kindergarten,1st_grade,2nd_grade,3rd_grade,4th_grade,5th_grade,6th_grade,7th_grade,8th_grade,9th_grade,10th_grade,11th_grade,12th_grade_no_diploma,high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree
1400000US53033032213,53033032213,"Census Tract 322.13, King County, Washington",2967,22,0,0,0,0,0,0,0,2,1,8,8,11,1,24,182,9,139,313,137,1208,641,110,151
1400000US53033032214,53033032214,"Census Tract 322.14, King County, Washington",4030,19,0,0,0,0,0,1,0,0,0,0,27,0,0,38,213,7,74,334,253,1725,1094,128,117
1400000US53033032215,53033032215,"Census Tract 322.15, King County, Washington",3102,11,0,0,0,0,0,0,0,0,0,13,9,17,0,17,88,0,43,195,170,1447,868,95,129
1400000US53033032307,53033032307,"Census Tract 323.07, King County, Washington",4295,0,0,0,0,0,0,0,0,20,0,0,0,13,19,54,446,46,364,584,427,1292,859,70,101
1400000US53033032309,53033032309,"Census Tract 323.09, King County, Washington",5535,0,0,0,0,0,0,2,2,0,0,15,0,0,15,0,348,27,96,375,360,2221,1730,136,208
1400000US53033032311,53033032311,"Census Tract 323.11, King County, Washington",4296,27,0,0,0,0,0,0,0,0,0,0,0,0,0,55,531,86,317,519,354,1372,717,252,66
1400000US53033032313,53033032313,"Census Tract 323.13, King County, Washington",4722,0,0,0,0,0,0,0,0,211,0,0,12,14,13,60,369,16,171,529,261,1573,1367,81,45
1400000US53033032315,53033032315,"Census Tract 323.15, King County, Washington",3998,8,0,0,0,0,0,0,0,0,9,0,0,28,32,15,532,46,302,588,337,1259,589,179,74
1400000US53033032316,53033032316,"Census Tract 323.16, King County, Washington",3524,0,0,0,0,0,0,7,0,14,0,0,0,0,17,16,196,36,112,191,162,1615,970,97,91
1400000US53033032317,53033032317,"Census Tract 323.17, King County, Washington",4238,0,0,0,0,0,0,0,0,23,0,18,19,23,0,22,203,57,140,499,331,1591,1067,71,174
1400000US53033032318,53033032318,"Census Tract 323.18, King County, Washington",3948,22,0,0,0,0,0,0,0,0,0,0,14,24,0,1,204,28,102,286,252,1646,1043,79,247
1400000US53033032319,53033032319,"Census Tract 323.19, King County, Washington",4036,0,0,0,0,0,0,0,0,0,0,51,0,6,34,32,572,101,244,591,186,1587,466,108,58
1400000US53033032320,53033032320,"Census Tract 323.20, King County, Washington",3131,26,0,0,0,0,0,0,0,0,0,15,8,38,26,16,313,11,176,291,260,1206,582,85,78
1400000US53033032321,53033032321,"Census Tract 323.21, King County, Washington",3869,10,0,0,3,0,0,0,0,16,0,4,27,12,15,0,104,50,130,312,168,1508,1056,203,251
1400000US53033032322,53033032322,"Census Tract 323.22, King County, Washington",2425,14,0,0,0,0,0,0,0,0,0,0,0,10,12,22,107,23,88,305,178,981,467,98,120
1400000US53033032323,53033032323,"Census Tract 323.23, King County, Washington",3983,0,0,15,0,0,0,0,0,0,0,0,17,2,0,68,250,27,95,348,323,1611,986,71,170
1400000US53033032324,53033032324,"Census Tract 323.24, King County, Washington",3957,1,0,0,0,0,0,0,0,0,36,0,126,1,47,25,313,0,289,446,385,1223,959,18,88
1400000US53033032325,53033032325,"Census Tract 323.25, King County, Washington",4019,45,0,17,0,0,7,0,0,5,12,0,0,36,0,18,273,47,163,537,385,1366,831,225,52
1400000US53033032326,53033032326,"Census Tract 323.26, King County, Washington",2646,25,0,0,0,0,0,0,0,45,0,37,9,0,10,12,195,59,102,280,160,1159,395,93,65
1400000US53033032327,53033032327,"Census Tract 323.27, King County, Washington",3546,8,0,0,0,0,0,0,0,0,0,0,0,0,8,23,264,44,87,426,302,1372,649,177,186
1400000US53033032328,53033032328,"Census Tract 323.28, King County, Washington",2325,0,0,0,0,0,0,0,0,0,0,14,11,19,0,12,211,10,149,273,154,815,433,171,53
1400000US53033032329,53033032329,"Census Tract 323.29, King County, Washington",5797,18,0,0,0,0,0,0,0,0,0,0,17,0,0,0,193,100,140,344,271,2541,1599,215,359
1400000US53033032401,53033032401,"Census Tract 324.01, King County, Washington",4239,0,0,0,0,0,0,0,0,1,0,0,94,14,38,39,637,143,187,579,624,1292,541,50,0
1400000US53033032402,53033032402,"Census Tract 324.02, King County, Washington",4464,62,0,0,0,0,0,0,0,0,0,0,0,0,73,35,570,149,342,762,560,1301,561,35,14
1400000US53033032500,53033032500,"Census Tract 325, King County, Washington",3906,16,0,0,0,0,0,0,11,35,0,15,11,22,52,79,542,119,288,586,357,1230,441,51,51
1400000US53033032601,53033032601,"Census Tract 326.01, King County, Washington",2003,30,0,0,0,0,0,0,0,45,0,0,0,0,31,37,298,19,205,315,140,592,192,53,46
1400000US53033032602,53033032602,"Census Tract 326.02, King County, Washington",8352,14,0,15,0,0,0,0,0,0,19,0,0,19,0,138,518,62,408,1010,514,3657,1503,343,132
1400000US53033032702,53033032702,"Census Tract 327.02, King County, Washington",4781,0,0,0,0,0,0,0,0,13,0,0,2,0,18,40,975,141,295,756,718,1392,374,43,14
1400000US53033032703,53033032703,"Census Tract 327.03, King County, Washington",1644,34,0,0,0,0,0,0,0,0,0,0,9,22,6,56,249,71,174,243,116,489,126,49,0
1400000US53033032704,53033032704,"Census Tract 327.04, King County, Washington",4575,29,0,0,0,0,0,0,0,98,0,73,0,35,49,106,559,271,206,924,516,1296,230,121,62
1400000US53033032800,53033032800,"Census Tract 328, King County, Washington",1797,10,0,0,0,0,0,0,0,0,0,24,4,27,19,30,245,56,103,330,113,536,264,30,6
1400000US53033990100,53033990100,"Census Tract 9901, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
